1 2 3 4 5 6 7 8 9 10 11 12 Saw;
1 2 4 6 8 10 12 14 16 18 20 22 Sawish;
1 3 5 7 9 11 13 15 17 19 21 23 Square;
1 2.009 2 4 4.01 8.015 8 16.02 16 17 32.09 32 SqRoot;
1 2.01 4.02 6.06 8.08 10.2 12.3 14.5 16.6 17 18.9 19 Dis.Saw;
1 0.33 0.5 1 -1 2 3 -3 -5 5 7 -7 Raphy;
1 1.001 0.5 -0.5001 2 -2.001 3 -2.999 4 -4.001 5 5.001 Bells;
1 1.01 2 2.01 4 4.09 8 8.12 9 14 16 16.3 Carousel;
1 3.01 3 5.03 5 7.04 7 9.01 9 11.03 11 13.06 DisSquare;
1 4 5 6 7 8 9 10 11 12 13 14 bassTri;
1 -3 5 -7 9 -11 13 -15 17 -19 21 -23 TRiangle;
1 -2 3 -5 7 -11 13 -17 19 -23 29 -31 Primes;
