0 length 1011;
0 note 65 100;
66 note 71 100;
88 note 65 0;
97 note 69 100;
113 note 69 0;
121 note 60 100;
164 note 71 0;
189 note 67 100;
225 note 60 0;
226 note 68 100;
272 note 67 0;
322 note 67 100;
327 note 62 100;
370 note 68 0;
398 note 67 0;
404 note 70 100;
407 note 61 100;
431 note 62 0;
473 note 70 0;
497 note 62 100;
502 note 69 100;
508 note 71 100;
544 note 69 0;
553 note 72 100;
644 note 62 0;
662 note 71 0;
691 note 74 100;
696 note 72 0;
701 note 77 100;
715 note 60 100;
723 note 76 100;
726 note 75 100;
731 note 60 0;
734 note 74 0;
739 note 77 0;
746 note 78 100;
747 note 79 100;
749 note 61 0;
754 note 75 0;
764 note 77 100;
765 note 76 0;
770 note 79 0;
772 note 80 100;
811 note 82 100;
811 note 77 0;
817 note 80 0;
824 note 79 100;
855 note 83 100;
857 note 78 0;
859 note 80 100;
862 note 82 0;
870 note 81 100;
875 note 79 0;
876 note 83 0;
899 note 80 0;
900 note 82 100;
920 note 83 100;
927 note 81 0;
946 note 82 0;
981 note 83 0;
