0 length 1784;
0 note 72 100;
14 note 69 100;
14 note 71 100;
14 note 65 100;
119 note 72 0;
119 note 65 0;
134 note 71 0;
134 note 69 0;
179 note 65 100;
179 note 69 100;
194 note 71 100;
194 note 72 100;
389 note 71 0;
404 note 69 0;
404 note 72 0;
404 note 65 0;
674 note 71 100;
674 note 72 100;
674 note 65 100;
689 note 69 100;
809 note 72 0;
824 note 71 0;
824 note 72 100;
824 note 72 0;
824 note 69 0;
839 note 65 0;
869 note 65 100;
884 note 72 100;
884 note 71 100;
884 note 69 100;
1094 note 72 0;
1109 note 71 0;
1109 note 65 0;
1109 note 69 0;
1349 note 72 100;
1364 note 65 100;
1364 note 71 100;
1364 note 69 100;
1484 note 72 0;
1484 note 71 0;
1484 note 69 0;
1499 note 65 0;
1544 note 72 100;
1544 note 65 100;
1544 note 71 100;
1559 note 69 100;
1709 note 72 0;
1724 note 65 0;
1724 note 71 0;
1724 note 69 0;
